id,name,cid,旧prob_cctcm,新prob_cctcm,旧prob_herb,新prob_herb,旧blood(手填),ccTCM模式,HERB模式,旧值判定,cctcm变化
ccMon00001210,胡黄连苷Ⅱ,11944602,0.482,0.4058,0.2921,0.0372,0.57,B:导师特征,B:HERB库特征,干净,-0.0762
ccMon00001214,乔松素（松属素）,68071,0.636,0.9348,0.792,0.6884,0.44,B:导师特征,B:HERB库特征,干净,0.2988
ccMon00001215,松脂素,12309636,0.5,0.6005,0.1603,0.3234,0.5,A:SMILES,B:HERB库特征,回填脏值,0.1005
ccMon00001224,车前胍酸(车前素),,0.91,0.3621,,0.0234,0.91,A:SMILES,A:SMILES,回填脏值,-0.5479
ccMon00001226,桔梗皂苷D,162859,0.532,0.1386,0.034,0.0057,0.9,B:导师特征,B:HERB库特征,干净,-0.3934
ccMon00001227,桔梗皂苷D3,75251137,0.382,0.1475,0.386,0.0066,0.58,B:导师特征,B:HERB库特征,干净,-0.2345
ccMon00001232,虎杖苷,5281718,0.722,0.9213,0.4837,0.3735,0.53,B:导师特征,B:HERB库特征,干净,0.1993
ccMon00001240,没食子酸丙酯,4947,0.784,0.5756,0.1,0.1492,0.36,B:导师特征,B:HERB库特征,干净,-0.2084
ccMon00001241,"原儿茶醛（3,4-二羟基苯甲醛）",8768,0.87,0.946,0.712,0.8428,0.54,B:导师特征,B:HERB库特征,干净,0.076
ccMon00001242,原儿茶酸,72,0.958,0.9758,0.76,0.289,0.51,B:导师特征,B:HERB库特征,干净,0.0178
ccMon00001245,野黑樱苷,91434,0.35,0.7008,0.654,0.5978,0.35,A:SMILES,B:HERB库特征,回填脏值,0.3508
ccMon00001247,伪麻黄碱,7028,0.83,0.9716,0.924,0.5273,0.75,B:导师特征,B:HERB库特征,干净,0.1416
ccMon00001250,补骨脂素,6199,0.472,0.9703,0.232,0.8842,0.35,B:导师特征,B:HERB库特征,干净,0.4983
ccMon00001252,补骨脂定,5281806,0.552,0.8875,0.0812,0.3272,0.92,B:导师特征,B:HERB库特征,干净,0.3355
ccMon00001254,葛根素,5281807,0.73,0.9682,0.7793,0.7832,0.66,B:导师特征,B:HERB库特征,干净,0.2382
ccMon00001257,胡薄荷酮,442495,0.1,0.0917,0.066,0.0754,0.38,B:导师特征,B:HERB库特征,干净,-0.0083
ccMon00001259,安石榴苷,,0.54,0.3226,,0.0123,0.54,A:SMILES,A:SMILES,回填脏值,-0.2174
ccMon00001260,羟基茜草素,,0.34,0.5867,,0.1361,0.34,A:SMILES,A:SMILES,回填脏值,0.2467
ccMon00001261,腐胺,1045,0.374,0.239,0.122,0.0565,0.35,B:导师特征,B:HERB库特征,干净,-0.135
ccMon00001262,槲皮素,5280343,0.996,0.9078,0.791,0.4874,0.76,B:导师特征,B:HERB库特征,干净,-0.0882
ccMon00001269,槲皮苷,5280459,0.52,0.9591,0.6067,0.4193,0.33,B:导师特征,B:HERB库特征,干净,0.4391
ccMon00001276,白藜芦醇,445154,0.556,0.9353,0.1,0.3387,0.94,B:导师特征,B:HERB库特征,干净,0.3793
ccMon00001278,"雷杜辛黄酮醇（栎精-3,7,3',4'-四甲醚）",5352005,0.688,0.31,0.1787,0.09,0.33,B:导师特征,B:HERB库特征,干净,-0.378
ccMon00001279,鼠李柠檬素,,0.36,0.7269,,0.217,0.36,A:SMILES,A:SMILES,回填脏值,0.3669
ccMon00001281,大黄酸,10168,0.89,0.9356,0.732,0.7521,0.89,B:导师特征,B:HERB库特征,干净,0.0456
ccMon00001283,野漆树苷（芹菜素-7-O-β-新橙皮糖苷）,5282150,0.666,0.382,0.2683,0.2154,0.78,B:导师特征,B:HERB库特征,干净,-0.284
ccMon00001284,钩藤碱,5281408,0.916,0.9274,0.866,0.6936,0.9,B:导师特征,B:HERB库特征,干净,0.0114
ccMon00001285,栎瘿酸,12315005,0.4392,0.2665,0.08,0.2456,0.91,B:导师特征,B:HERB库特征,干净,-0.1727
ccMon00001286,迷迭香酸,5281792,0.67,0.9056,0.384,0.2452,0.52,B:导师特征,B:HERB库特征,干净,0.2356
ccMon00001287,甲基异茜草素,124062,0.502,0.3497,0.82,0.0881,0.57,B:导师特征,B:HERB库特征,干净,-0.1523
ccMon00001289,吴茱萸次碱,65752,0.478,0.8829,0.292,0.6989,0.88,B:导师特征,B:HERB库特征,干净,0.4049
ccMon00001290,芦丁（芸香苷）,5293655,0.41,0.5788,0.2565,0.1979,0.41,A:SMILES,B:HERB库特征,回填脏值,0.1688
ccMon00001291,桧烯（香桧烯）,18818,0.072,0.141,0.04,0.0896,0.8,B:导师特征,B:HERB库特征,干净,0.069
ccMon00001293,番紅花醛,61041,0.082,0.1583,0.03,0.048,0.7,B:导师特征,B:HERB库特征,干净,0.0763
ccMon00001294,黄樟醚,5144,0.226,0.8116,0.29,0.6604,0.75,B:导师特征,B:HERB库特征,干净,0.5856
ccMon00001295,柴胡皂苷a,129637783,0.69,0.7075,0.577,0.2759,0.69,A:SMILES,B:HERB库特征,回填脏值,0.0175
ccMon00001302,水杨酸,338,0.784,0.9286,0.498,0.2974,0.57,B:导师特征,B:HERB库特征,干净,0.1446
ccMon00001303,红景天苷,159278,0.682,0.9026,0.326,0.2185,0.64,B:导师特征,B:HERB库特征,干净,0.2206
ccMon00001304,去甲猪毛菜碱,91588,0.448,0.4059,0.408,0.0442,0.74,B:导师特征,B:HERB库特征,干净,-0.0421
ccMon00001311,菝葜皂苷元,99516,0.0983,0.3101,0.144,0.2258,0.52,B:导师特征,B:HERB库特征,干净,0.2118
ccMon00001314,夏佛塔苷,185958,0.61,0.5872,0.3112,0.2728,0.61,A:SMILES,B:HERB库特征,回填脏值,-0.0228
ccMon00001322,五味子酚,73057,0.6807,0.9403,0.755,0.5409,0.65,B:导师特征,B:HERB库特征,干净,0.2596
ccMon00001326,"滨蒿内酯（6,7-二甲氧基香豆素）",8417,0.92,0.9697,0.294,0.682,0.6,B:导师特征,B:HERB库特征,干净,0.0497
ccMon00001327,东莨菪内酯(莨菪亭),5280460,0.762,0.9733,0.194,0.7245,0.79,B:导师特征,B:HERB库特征,干净,0.2113
ccMon00001328,野黄芩苷,,0.61,0.2302,,0.0192,0.61,A:SMILES,A:SMILES,回填脏值,-0.3798
ccMon00001330,克氏千里光碱(氧化苦素碱),,0.74,0.2409,,0.0349,0.74,A:SMILES,A:SMILES,回填脏值,-0.4991
ccMon00001336,L-芝麻脂素,11869417,0.808,0.9423,0.894,0.267,0.47,B:导师特征,B:HERB库特征,干净,0.1343
ccMon00001339,山栀苷,11948668,0.472,0.9466,0.888,0.8394,0.45,B:导师特征,B:HERB库特征,干净,0.4746
ccMon00001340,山栀苷甲酯,13892722,0.466,0.9456,0.782,0.7854,0.43,B:导师特征,B:HERB库特征,干净,0.4796
ccMon00001341,莽草酸,,0.9,0.441,,0.0497,0.9,A:SMILES,A:SMILES,回填脏值,-0.459
ccMon00001342,紫草素,,0.44,0.6094,,0.0549,0.44,A:SMILES,A:SMILES,回填脏值,0.1694
ccMon00001350,芥子酸,637775,0.67,0.9306,0.218,0.3415,0.79,B:导师特征,B:HERB库特征,干净,0.2606
ccMon00001352,甜橙黄酮,145659,0.905,0.9029,0.82,0.6518,0.64,B:导师特征,B:HERB库特征,干净,-0.0021
ccMon00001353,白芥子苷(黑芥子硫苷酸钾),9692361,0.51,0.3496,0.2437,0.0138,0.51,A:SMILES,B:HERB库特征,回填脏值,-0.1604
ccMon00001356,宋果灵,71456946,0.78,0.3286,0.826,0.1158,0.54,B:导师特征,B:HERB库特征,干净,-0.4514
ccMon00001357,槐果碱,115269,0.384,0.9126,0.244,0.7625,0.81,B:导师特征,B:HERB库特征,干净,0.5286
ccMon00001358,槐黄醇,9929189,0.5619,0.4927,0.068,0.0517,0.46,B:导师特征,B:HERB库特征,干净,-0.0692
ccMon00001362,山豆根酮（山豆根色满二氢黄酮I或山豆根素）,441767,0.328,0.4313,0.142,0.0636,0.94,B:导师特征,B:HERB库特征,干净,0.1033
ccMon00001363,槐定碱,165549,0.382,0.9493,0.214,0.7449,0.83,B:导师特征,B:HERB库特征,干净,0.5673
ccMon00001364,匙叶桉油醇（斯巴醇）,522266,0.32,0.1406,0.024,0.0233,0.32,A:SMILES,B:HERB库特征,回填脏值,-0.1794
ccMon00001365,特女贞苷,91895359,0.608,0.8198,0.2973,0.6232,0.35,B:导师特征,B:HERB库特征,干净,0.2118
ccMon00001366,亚精胺,1102,0.494,0.2215,0.418,0.072,0.74,B:导师特征,B:HERB库特征,干净,-0.2725
ccMon00001367,精胺,1103,0.426,0.2679,0.122,0.0206,0.7,B:导师特征,B:HERB库特征,干净,-0.1581
ccMon00001371,百部新碱,15983991,0.574,0.8908,0.1683,0.5069,0.79,B:导师特征,B:HERB库特征,干净,0.3168
ccMon00001373,琥珀酸,1110,0.518,0.9042,0.126,0.255,0.41,B:导师特征,B:HERB库特征,干净,0.3862
ccMon00001375,獐牙菜苷(当药苷),161036,0.684,0.8696,0.6577,0.7274,0.41,B:导师特征,B:HERB库特征,干净,0.1856
ccMon00001377,獐牙菜苦苷,442435,0.576,0.5802,0.5861,0.436,0.61,B:导师特征,B:HERB库特征,干净,0.0042
ccMon00001380,紫丁香苷（刺五加苷B）,5316860,0.888,0.9047,0.54,0.7203,0.84,B:导师特征,B:HERB库特征,干净,0.0167
